amount,payment_method,gateway,failure_reason,network_latency,gateway_health,issuer_health,customer_action_required,previous_attempt_count,recent_gateway_success_rate,historical_recovery_rate,time_since_failure,recovered
43943.96,net_banking,gateway_b,temporary_gateway_error,862,0.6974,0.0942,0,3,0.8502,0.2897,5480,1
92683.82,debit_card,gateway_c,authentication_required,651,0.8228,0.4434,1,2,0.6882,0.2447,1636,0
75832.97,net_banking,gateway_c,issuer_unavailable,367,0.9707,0.8931,0,3,0.6267,0.2307,1401,1
74501.74,net_banking,gateway_b,rate_limit,969,0.3258,0.3705,0,3,0.3909,0.533,1364,1
43771.48,net_banking,gateway_a,authentication_required,836,0.7003,0.3124,1,3,0.8633,0.4712,5993,1
14061.27,net_banking,gateway_c,network_timeout,216,0.0074,0.7869,0,2,0.8465,0.5212,5077,0
11541.55,credit_card,gateway_b,temporary_gateway_error,675,0.4711,0.5652,0,2,0.6875,0.5914,4570,1
43728.07,credit_card,gateway_c,authentication_required,230,0.4085,0.8534,1,0,0.3408,0.397,1684,1
55747.51,net_banking,gateway_b,insufficient_funds,789,0.6643,0.4064,0,1,0.3159,0.263,1202,0
16211.05,upi,gateway_c,rate_limit,511,0.1523,0.6963,0,0,0.5111,0.6412,2743,1
11888.79,credit_card,gateway_b,suspected_fraud,963,0.9086,0.6997,0,3,0.8451,0.7018,6979,0
9729.46,debit_card,gateway_b,rate_limit,905,0.4558,0.2024,0,4,0.4237,0.7996,4170,0
43266.09,net_banking,gateway_a,insufficient_funds,635,0.5841,0.6498,0,3,0.3291,0.5458,2994,0
10429.96,credit_card,gateway_a,rate_limit,596,0.1706,0.9251,0,2,0.7136,0.216,2497,0
78295.25,upi,gateway_a,insufficient_funds,101,0.4867,0.4907,0,0,0.6314,0.3869,4117,1
43947.25,upi,gateway_a,authentication_required,41,0.8263,0.8962,1,2,0.6878,0.276,1009,0
65976.32,debit_card,gateway_c,temporary_gateway_error,733,0.7686,0.1077,0,4,0.3262,0.5884,1657,1
80844.32,wallet,gateway_c,issuer_unavailable,331,0.9529,0.2909,0,4,0.9552,0.3152,1843,1
99238.32,upi,gateway_a,issuer_unavailable,894,0.7486,0.8908,0,0,0.5212,0.7404,3736,0
9537.22,debit_card,gateway_c,insufficient_funds,752,0.2625,0.9368,0,0,0.8818,0.3073,883,1
87468.75,upi,gateway_a,issuer_unavailable,212,0.3103,0.7774,0,2,0.4007,0.2098,3605,1
67798.1,credit_card,gateway_c,issuer_unavailable,139,0.5063,0.6943,0,2,0.8629,0.7008,1438,0
12463.0,credit_card,gateway_b,card_expired,929,0.3976,0.3009,0,2,0.9689,0.4005,4773,0
55564.28,credit_card,gateway_a,insufficient_funds,641,0.1059,0.1403,0,0,0.7172,0.8531,6957,0
78497.87,upi,gateway_c,insufficient_funds,37,0.1091,0.8294,0,2,0.6715,0.6242,1675,0
41315.9,net_banking,gateway_a,card_expired,387,0.4259,0.6519,0,1,0.4735,0.3657,3268,0
10617.28,wallet,gateway_c,card_expired,85,0.5944,0.1462,0,1,0.4007,0.8447,2234,0
15445.98,debit_card,gateway_b,network_timeout,133,0.0211,0.0554,0,4,0.7138,0.6765,384,0
50502.17,debit_card,gateway_c,card_expired,878,0.8511,0.0435,0,4,0.4746,0.5999,1704,0
37424.05,credit_card,gateway_c,issuer_unavailable,533,0.1017,0.8335,0,2,0.3694,0.7905,6659,0
80222.39,wallet,gateway_b,network_timeout,784,0.6425,0.779,0,4,0.66,0.8003,3860,1
63992.37,debit_card,gateway_a,card_expired,281,0.1398,0.4779,0,3,0.5573,0.4565,1674,0
68605.76,debit_card,gateway_a,insufficient_funds,311,0.9489,0.9163,0,3,0.6748,0.794,2364,0
53318.96,wallet,gateway_c,network_timeout,640,0.2882,0.7349,0,2,0.9025,0.2925,5003,0
72598.99,credit_card,gateway_b,rate_limit,102,0.9359,0.1374,0,0,0.7156,0.7478,5767,0
25413.0,wallet,gateway_c,suspected_fraud,598,0.095,0.6162,0,0,0.7007,0.5262,4068,0
79944.55,net_banking,gateway_b,rate_limit,502,0.5996,0.9312,0,3,0.3614,0.6605,843,1
67156.02,net_banking,gateway_c,suspected_fraud,347,0.8984,0.7625,0,3,0.5201,0.3103,2622,0
43846.61,wallet,gateway_c,temporary_gateway_error,396,0.7297,0.553,0,1,0.6356,0.4635,5618,0
95124.35,net_banking,gateway_b,temporary_gateway_error,136,0.8505,0.6371,0,2,0.7803,0.2086,4236,1
29606.37,wallet,gateway_c,rate_limit,469,0.4423,0.3019,0,3,0.3774,0.8979,5626,0
83705.97,debit_card,gateway_a,rate_limit,124,0.9991,0.6657,0,3,0.9279,0.2203,651,1
77699.12,credit_card,gateway_c,insufficient_funds,214,0.9106,0.6563,1,0,0.3362,0.6241,39,0
84955.94,debit_card,gateway_a,suspected_fraud,76,0.801,0.9278,0,4,0.8866,0.2281,5027,0
50502.65,credit_card,gateway_b,temporary_gateway_error,751,0.63,0.8511,0,4,0.4351,0.3895,5290,0
61193.21,wallet,gateway_b,authentication_required,73,0.6163,0.0424,1,1,0.7967,0.3212,6366,1
98004.72,credit_card,gateway_b,card_expired,469,0.7841,0.6364,0,2,0.9622,0.4109,1045,0
64958.39,net_banking,gateway_b,authentication_required,942,0.1484,0.5084,1,3,0.6319,0.2835,2909,1
30539.99,debit_card,gateway_b,suspected_fraud,439,0.611,0.6346,0,0,0.4523,0.6118,2943,0
41898.16,credit_card,gateway_b,suspected_fraud,485,0.2256,0.5725,0,2,0.7536,0.6567,5055,0
54959.52,net_banking,gateway_a,network_timeout,443,0.626,0.3607,0,4,0.9205,0.8447,5305,0
80007.05,upi,gateway_a,rate_limit,328,0.8374,0.4941,0,0,0.8894,0.2389,518,1
17382.15,debit_card,gateway_c,authentication_required,327,0.7427,0.0147,1,2,0.8996,0.4606,5956,1
12055.29,net_banking,gateway_b,network_timeout,377,0.9584,0.9955,0,2,0.7814,0.6938,2239,1
1171.69,net_banking,gateway_c,suspected_fraud,225,0.5251,0.1638,0,2,0.9924,0.5892,6022,0
14245.43,wallet,gateway_b,card_expired,459,0.3926,0.08,0,0,0.6285,0.3055,3123,0
4560.44,wallet,gateway_b,network_timeout,248,0.2921,0.4902,0,3,0.3589,0.3706,3552,0
64949.99,net_banking,gateway_b,card_expired,677,0.7629,0.0581,0,3,0.5369,0.7911,3885,0
85216.35,net_banking,gateway_b,authentication_required,515,0.9096,0.5871,1,0,0.5384,0.5492,6122,1
39915.4,credit_card,gateway_c,authentication_required,919,0.6308,0.1775,1,0,0.4341,0.2174,2440,0
30822.75,upi,gateway_a,rate_limit,607,0.0073,0.278,0,2,0.9873,0.6343,4563,0
90342.45,net_banking,gateway_b,suspected_fraud,727,0.9632,0.782,0,0,0.8127,0.5081,821,0
96984.53,net_banking,gateway_a,suspected_fraud,985,0.2882,0.7338,0,3,0.3867,0.2287,2495,0
98555.46,upi,gateway_c,suspected_fraud,476,0.9779,0.4116,0,3,0.6888,0.7614,610,0
3793.38,wallet,gateway_a,insufficient_funds,385,0.0487,0.1093,0,3,0.8416,0.8058,5136,0
4991.47,wallet,gateway_c,insufficient_funds,250,0.6219,0.8581,1,4,0.7741,0.2207,3705,0
67194.12,wallet,gateway_a,rate_limit,253,0.8528,0.348,0,4,0.7132,0.4779,2152,1
18840.61,wallet,gateway_c,authentication_required,103,0.3419,0.7176,1,2,0.9991,0.4075,5814,1
57529.71,credit_card,gateway_a,authentication_required,998,0.7009,0.5952,1,0,0.9407,0.5478,2825,1
6809.95,debit_card,gateway_b,temporary_gateway_error,218,0.0177,0.4533,0,4,0.5943,0.8714,2472,0
28525.63,upi,gateway_b,authentication_required,899,0.2351,0.3253,1,4,0.6707,0.7196,6546,0
30008.39,net_banking,gateway_c,authentication_required,256,0.3225,0.1554,1,1,0.4983,0.593,6295,0
43894.79,net_banking,gateway_c,authentication_required,487,0.9947,0.6746,1,1,0.9318,0.7513,5866,1
10279.23,upi,gateway_b,network_timeout,660,0.9553,0.5127,0,0,0.9718,0.2721,258,1
6646.49,debit_card,gateway_c,temporary_gateway_error,466,0.5161,0.3126,0,4,0.5692,0.2424,803,0
30276.95,debit_card,gateway_b,insufficient_funds,406,0.4166,0.0017,0,2,0.3009,0.5557,6212,0
